Что утверждает Теорема о непрерывности суммы мажорируемого ряда?	Теорема утверждает, что если функциональный ряд \(\sum_{n=1}^{\infty} u_n(x)\), где \(u_n(x) \in C_{[a, b]}\), мажорируется на \(D = [a, b]\), то его сумма \(S(x)\) является непрерывной функцией на \([a, b]\).
Что такое мажорируемый и мажорирующий ряд?	Мажорируемый ряд — это функциональный ряд \(\sum_{n=1}^{\infty} u_n(x)\), который удовлетворяет условию \(|u_n(x)| \leq \alpha_n\) для всех \(n\) и для всех \(x \in D\), где \(\sum_{n=1}^{\infty} \alpha_n\) — мажорирующий числовой ряд.
Что утверждает Теорема о интегрировании мажорируемого ряда?	Теорема утверждает, что если функциональный ряд \(\sum_{n=1}^{\infty} u_n(x)\) мажорируется на \([a, b]\) и каждый \(u_n(x)\) непрерывна на \([a, b]\), то определен интеграл \(\int_{x_0}^{y} S(x) dx\) и справедливо равен \(\sum_{n=1}^{\infty} \int_{x_0}^{y} u_n(x) dx\), где \(S(x)\) — сумма ряда.
Что утверждает Теорема о производной суммы мажорируемого ряда?	Теорема утверждает, что если функциональный ряд \(\sum_{n=1}^{\infty} u_n(x)\) мажорируется на \([a, b]\) и каждый \(u_n(x)\) дифференцируема на \([a, b]\), то производная суммы ряда равна сумме производных членов ряда: \(S'(x) = \sum_{n=1}^{\infty} u'_n(x)\).
Что такое степенной ряд?	Степенной ряд — это числовой ряд вида \(\sum_{n=0}^{\infty} c_n (x - x_0)^n\), где \(c_n \in \mathbb{R}\) и \(x_0 \in \mathbb{R}\) — центр ряда.
Что такое радиус сходимости степенного ряда?	Радиус сходимости степенного ряда \(\sum_{n=0}^{\infty} c_n (x - x_0)^n\) — это такое положительное число \(R\), что ряд сходится для всех \(x\), удовлетворяющих неравенству \(|x - x_0| < R\), и расходится для всех \(x\), удовлетворяющих \(|x - x_0| > R\). Сходимость на границе \(|x - x_0| = R\) требует отдельного исследования.
Что утверждает Теорема Абеля для степенных рядов?	Теорема Абеля утверждает, что если степенной ряд \(\sum_{n=0}^{\infty} c_n x^n\) сходится в некоторой точке \(x_1\), то он сходится абсолютно и равномерно на всех интервалах \(|x| \leq r\), где \(r < |x_1|\). Аналогично, если ряд расходится в точке \(x_2\), то он расходится для всех \(x\), удовлетворяющих \(|x| > |x_2|\).
Что такое ряд Тейлора?	Ряд Тейлора для функции \(f(x)\), которая обладает всеми необходимыми производными в окрестности точки \(x_0\), представляет собой степенной ряд вида \(\sum_{n=0}^{\infty} \frac{f^{(n)}(x_0)}{n!} (x - x_0)^n\), который аппроксимирует функцию \(f(x)\) в окрестности точки \(x_0\).
Что необходимо для того, чтобы ряд Тейлора равнялся функции \(f(x)\) в пределе?	Необходимо, чтобы остаток \(r_n(x)\) ряда Тейлора стремился к нулю при \(n \to \infty\), то есть \(\lim_{n \to \infty} r_n(x) = 0\). Это гарантирует, что \(f(x)\) равна сумме ряда Тейлора в пределах области сходимости.
Что показывает пример с ряд \(\sum_{n=1}^{\infty} \frac{(-1)^{n+1}}{n}\)?	Пример показывает, что знакочередующийся гармонический ряд \(\sum_{n=1}^{\infty} \frac{(-1)^{n+1}}{n}\) сходится условно по Признаку Лейбница, несмотря на то, что ряд его абсолютных значений \(\sum_{n=1}^{\infty} \frac{1}{n}\) расходится.
