Что такое функциональный ряд?	Функциональный ряд — это числовой ряд вида \(\sum_{n=1}^{\infty} u_n(x)\), где \(u_n(x)\) — функции, определённые на множестве \(E \subset \mathbb{R}\).
Что такое область сходимости функционального ряда?	Область сходимости функционального ряда \(\sum_{n=1}^{\infty} u_n(x)\) — это множество значений \(x\), при которых ряд сходится.
Что такое сумма функционального ряда?	Если ряд \(\sum_{n=1}^{\infty} u_n(x)\) сходится для всех \(x\) из некоторого множества \(E\), то сумма ряда определяется как функция \(S(x)\), где \(S(x) = \lim_{n \to \infty} S_n(x)\) и \(S_n(x)\) — частичная сумма ряда.
Что такое равномерная сходимость функционального ряда?	Равномерная сходимость ряда \(\sum_{n=1}^{\infty} u_n(x)\) на множестве \(D\) означает, что для любого \(\varepsilon > 0\) существует \(n_0 \in \mathbb{N}\), такое что для всех \(n > n_0\) и для всех \(x \in D\) выполняется неравенство \(|R_n(x)| < \varepsilon\), где \(R_n(x)\) — остаток ряда.
Что утверждает Признак Вейерштрасса для равномерной сходимости функционального ряда?	Признак Вейерштрасса гласит, что если существует сходящийся числовой ряд \(\sum_{n=1}^{\infty} \alpha_n\), такой что \(|u_n(x)| \leq \alpha_n\) для всех \(n\) и для всех \(x \in D\), тогда функциональный ряд \(\sum_{n=1}^{\infty} u_n(x)\) сходится равномерно на множестве \(D\).
Что такое мажорирующий и мажорируемый ряд?	Мажорирующий ряд — это числовой ряд \(\sum_{n=1}^{\infty} \alpha_n\), который сходится и превосходит по модулю каждый член мажорируемого ряда \(\sum_{n=1}^{\infty} u_n(x)\), то есть \(|u_n(x)| \leq \alpha_n\) для всех \(n\).
Что такое знакочередующийся ряд?	Знакочередующийся ряд — это числовой ряд вида \(\sum_{n=1}^{\infty} (-1)^n u_n\), где \(u_n > 0\) для всех \(n\), и знаки членов чередуются между положительными и отрицательными.
Что утверждает Признак Лейбница для знакочередующихся рядов?	Признак Лейбница гласит, что знакочередующийся ряд \(\sum_{n=1}^{\infty} (-1)^{n+1} u_n\) сходится, если \(u_n \to 0\) при \(n \to \infty\) и последовательность \(\{u_n\}\) монотонно убывает, то есть \(u_1 > u_2 > \dots > u_n\).
Почему условие \(u_n \to 0\) необходимо для сходимости ряда?	Поскольку если ряд \(\sum_{n=1}^{\infty} u_n\) сходится, то обязательно \(\lim_{n \to \infty} u_n = 0\). Это необходимо условие сходимости ряда.
Что такое абсолютная сходимость ряда?	Ряд \(\sum_{n=1}^{\infty} u_n\) называется абсолютно сходящимся, если ряд \(\sum_{n=1}^{\infty} |u_n|\) сходится.
Что такое условная сходимость ряда?	Ряд \(\sum_{n=1}^{\infty} u_n\) называется условно сходящимся, если он сходится, но ряд его абсолютных значений \(\sum_{n=1}^{\infty} |u_n|\) расходится.
Что утверждает Теорема об абсолютной сходимости?	Теорема об абсолютной сходимости утверждает, что если ряд \(\sum_{n=1}^{\infty} |u_n|\) сходится, то и ряд \(\sum_{n=1}^{\infty} u_n\) сходится.
Почему из абсолютной сходимости ряда следует его условная сходимость?	Поскольку абсолютная сходимость ряда \(\sum_{n=1}^{\infty} |u_n|\) подразумевает, что ряд \(\sum_{n=1}^{\infty} u_n\) также сходится, но обратное не верно: условная сходимость не гарантирует абсолютной сходимости.
